 и 432;
 в 233;
 не 178;
 я 130;
 он 121;
 на 94;
 с 87;
 но 82;
 как 82;
 что 67;
 все 56;
 мне 50;
 был 47;
 его 46;
 к 45;
 она 45;
 их 43;
 так 42;
 ты 40;
 по 37;
 ни 36;
 для 35;
 о 35;
 уж 35;
 ее 34;
 мой 33;
 то 33;
 ей 29;
 нет 29;
 когда 27;
 вы 27;
 а 27;
 там 26;
 же 25;
 без 25;
 ж 25;
 да 25;
 татьяна 25;
 где 23;
 мы 23;
 от 23;
 меня 22;
 быть 20;
 за 20;
 вас 19;
 онегин 19;
 у 19;
 еще 19;
 евгений 19;
 они 19;
 нас 18;
 б 18;
 друзья 17;
 может 16;
 своей 16;
 иль 16;
 любовь 16;
 ли 16;
 бы 16;
 вот 15;
 пора 15;
 хоть 15;
 всегда 15;
 кто 15;
 любви 15;
 мог 14;
 ним 14;
 чтоб 14;
 жизни 14;
 под 14;
 ней 14;
 няня 14;
 ему 13;
 всех 13;
 со 13;
 вам 13;
 лет 13;
 ль 13;
 нам 13;
 том 12;
 было 12;
 мои 12;
 теперь 12;
 сердца 12;
 души 12;
 сердце 12;
 тем 12;
 сон 12;
 про 11;
 потом 11;
 до 11;
 очень 11;
 им 11;
 это 11;
 давно 11;
 моей 11;
 душа 11;
 или 10;
 чем 10;
 была 10;
 друг 10;
 только 10;
 наш 10;
 них 10;
 себя 9;
 день 9;
 наконец 9;
 нибудь 9;
 свой 9;
 вдруг 9;
 везде 9;
 меж 9;
 людей 9;
 во 9;
 нем 9;
 ах 9;
 дитя 8;
 из 8;
 дней 8;
 взор 8;
 бывало 8;
 пред 8;
 перед 8;
 средь 8;
 шум 8;
 время 8;
 над 8;
 ничего 8;
 моя 8;
 своих 7;
 дам 7;
 огнем 7;
 одно 7;
 дни 7;
 вновь 7;
 свои 7;
 здесь 7;
 милые 7;
 страстей 7;
 иногда 7;
 жизнь 7;
 света 7;
 разговор 7;
 язык 7;
 между 7;
 слезы 7;
 ленский 7;
 одна 7;
 письмо 7;
 тебя 6;
 час 6;
 читатель 6;
 три 6;
 свет 6;
 знал 6;
 об 6;
 глуши 6;
 порой 6;
 после 6;
 кого 6;
 умом 6;
 того 6;
 слез 6;
 новый 6;
 цвет 6;
 долго 6;
 тени 6;
 ваш 6;
 совсем 6;
 увы 6;
 любил 6;
 люблю 6;
 много 6;
 тогда 6;
 никогда 6;
 ножки 6;
 снова 6;
 опять 6;
 полно 6;
 слова 6;
 ум 6;
