 и 537;
 в 296;
 не 212;
 я 146;
 он 139;
 на 129;
 с 102;
 но 101;
 как 93;
 что 89;
 все 78;
 она 56;
 мне 54;
 его 53;
 был 53;
 к 53;
 их 50;
 так 49;
 ты 48;
 то 47;
 по 45;
 уж 44;
 ее 43;
 ей 43;
 о 41;
 ни 40;
 для 38;
 а 38;
 мой 37;
 татьяна 37;
 нет 35;
 вы 32;
 когда 31;
 ж 31;
 да 31;
 там 30;
 же 28;
 за 28;
 без 26;
 меня 25;
 мы 25;
 где 24;
 от 24;
 быть 23;
 вот 23;
 у 23;
 кто 23;
 вас 22;
 онегин 22;
 еще 22;
 иль 21;
 друзья 20;
 своей 20;
 евгений 20;
 бы 20;
 они 20;
 может 19;
 нас 19;
 под 19;
 нам 19;
 ним 18;
 ли 18;
 б 18;
 любви 18;
 ему 17;
 пора 17;
 со 17;
 хоть 17;
 жизни 17;
 любовь 17;
 ней 16;
 мог 15;
 сердца 15;
 всегда 15;
 друг 15;
 ль 15;
 про 14;
 или 14;
 потом 14;
 чтоб 14;
 вам 14;
 нибудь 14;
 из 14;
 лет 14;
 вдруг 14;
 им 14;
 меж 14;
 это 14;
 тем 14;
 сон 14;
 няня 14;
 всех 13;
 том 13;
 было 13;
 мои 13;
 теперь 13;
 во 13;
 сердце 13;
 моей 13;
 души 13;
 день 12;
 до 12;
 только 12;
 перед 12;
 душа 12;
 очень 11;
 свой 11;
 наш 11;
 давно 11;
 ах 11;
 них 11;
 себя 10;
 дней 10;
 чем 10;
 была 10;
 везде 10;
 пред 10;
 снег 10;
 шум 10;
 над 10;
 ленский 10;
 своих 9;
 наконец 9;
 два 9;
 взор 9;
 после 9;
 бывало 9;
 людей 9;
 свои 9;
 средь 9;
 нем 9;
 ничего 9;
 моя 9;
 тебя 8;
 дитя 8;
 одно 8;
 порой 8;
 того 8;
 вновь 8;
 здесь 8;
 время 8;
 жизнь 8;
 при 8;
 одна 8;
 тут 8;
 молодой 7;
 час 7;
 читатель 7;
 дам 7;
 огнем 7;
 довольно 7;
 об 7;
 глуши 7;
 первый 7;
 кого 7;
 дни 7;
 долго 7;
 совсем 7;
 кругом 7;
 ножки 7;
 много 7;
 люблю 7;
 милые 7;
 тогда 7;
 никогда 7;
 страстей 7;
 иногда 7;
 полно 7;
 слова 7;
 света 7;
 милый 7;
 разговор 7;
 ум 7;
 язык 7;
 между 7;
 поэт 7;
 мечты 7;
 слезы 7;
 бог 7;
 верно 7;
 милой 7;
 письмо 7;
 ночь 6;
 три 6;
 свет 6;
 v 6;
 знал 6;
 наших 6;
 него 6;
 рано 6;
 умом 6;
 сам 6;
 своим 6;
 куда 6;
